ID,Title,Type,Year,Release Date,Rating,Genres,Source,Trailer URL,Poster URL,Description,Now Playing
tmdb-tv-66732,Stranger Things,tv,2016,2016-07-15,8.6,"Mystery, Action",Netflix,https://www.youtube.com/watch?v=mnd7sFt5c3A,https://image.tmdb.org/t/p/w500/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",
tmdb-movie-1084242,Zootopia 2,movie,2025,2025-11-26,7.6,"Animation, Comedy, Adventure, Family, Mystery",In Theatres,https://www.youtube.com/watch?v=k8t8rvRO7Ug,https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal me...",
tmdb-movie-840464,Greenland 2: Migration,movie,2026,2026-01-07,6.6,"Adventure, Thriller, Sci-Fi",In Theatres,https://www.youtube.com/watch?v=zwfCPPttT4s,https://image.tmdb.org/t/p/w500/dtPwBZjzqTaObjG4fKStRkBq1uu.jpg,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe t...",
tmdb-movie-1306368,The Rip,movie,2026,2026-01-13,7.0,"Action, Thriller, Crime",Netflix,https://www.youtube.com/watch?v=yeR5bcbRPak,https://image.tmdb.org/t/p/w500/p4bW2sJKAwcHuLpfoZK7Zo63osA.jpg,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",
tmdb-movie-1168190,The Wrecking Crew,movie,2026,2026-01-28,6.2,"Action, Comedy, Crime, Mystery",In Theatres,https://www.youtube.com/watch?v=v8R0xDczERo,https://image.tmdb.org/t/p/w500/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",
tmdb-tv-224372,A Knight of the Seven Kingdoms,tv,2026,2026-01-18,8.1,"Drama, Action",In Theatres,https://www.youtube.com/watch?v=sItUCKJQLTU,https://image.tmdb.org/t/p/w500/6igvNs5VJB4ryBLgjjXksDVs0Fm.jpg,"A century before the events of Game of Thrones, two unlikely heroes wandered Westeros: a young, naive but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the...",
tmdb-movie-1234731,Anaconda,movie,2025,2025-12-24,6.0,"Adventure, Comedy, Horror",In Theatres,https://www.youtube.com/watch?v=jMbBuQAYOeM,https://image.tmdb.org/t/p/w500/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natura...",Cineplex
tmdb-tv-79744,The Rookie,tv,2018,2018-10-16,8.5,"Crime, Drama, Comedy",Netflix,https://www.youtube.com/watch?v=8BPlx6eK1vc,https://image.tmdb.org/t/p/w500/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he’s met with skep...",
tmdb-movie-83533,Avatar: Fire and Ash,movie,2025,2025-12-17,7.3,"Sci-Fi, Adventure, Fantasy",In Theatres,https://www.youtube.com/watch?v=RlofL5WU28k,https://image.tmdb.org/t/p/w500/5bxrxnRaxZooBAxgUVBZ13dpzC7.jpg,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by ...",
tmdb-tv-1622,Supernatural,tv,2005,2005-09-13,8.3,"Drama, Mystery",In Theatres,https://www.youtube.com/watch?v=yy96yJjkvjo,https://image.tmdb.org/t/p/w500/u40gJarLPlIkwouKlzGdobQOV9k.jpg,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranorma...",
